x,y,z,nx,ny,nz
186.9815547,-83.65062568,0,0,0,1
186.4484314,-84.2273553,0,0,0,1
185.9063149,-84.79563983,0,0,0,1
185.3553391,-85.35533906,0,0,0,1
184.7956398,-85.90631489,0,0,0,1
184.2273553,-86.44843137,0,0,0,1
183.6506257,-86.98155475,0,0,0,1
183.0655933,-87.50555348,0,0,0,1
182.4724024,-88.02029828,0,0,0,1
181.8711995,-88.52566214,0,0,0,1
181.2621328,-89.02152037,0,0,0,1
180.6453527,-89.50775062,0,0,0,1
180.0210113,-89.98423292,0,0,0,1
179.3892626,-90.45084972,0,0,0,1
178.7502626,-90.90748587,0,0,0,1
178.1041689,-91.35402871,0,0,0,1
177.4511409,-91.79036807,0,0,0,1
176.7913397,-92.21639628,0,0,0,1
176.1249282,-92.63200822,0,0,0,1
175.4520708,-93.03710135,0,0,0,1
174.7729334,-93.43157572,0,0,0,1
174.0876837,-93.815334,0,0,0,1
173.3964907,-94.1882815,0,0,0,1
172.699525,-94.55032621,0,0,0,1
171.9969585,-94.90137879,0,0,0,1
171.2889646,-95.24135262,0,0,0,1
170.5757179,-95.57016383,0,0,0,1
169.8573945,-95.88773128,0,0,0,1
169.1341716,-96.19397663,0,0,0,1
168.4062276,-96.48882429,0,0,0,1
167.6737422,-96.77220154,0,0,0,1
166.936896,-97.04403845,0,0,0,1
166.1958709,-97.30426794,0,0,0,1
165.4508497,-97.55282581,0,0,0,1
164.7020163,-97.78965074,0,0,0,1
163.9495553,-98.01468428,0,0,0,1
163.1936525,-98.22787092,0,0,0,1
162.4344944,-98.42915806,0,0,0,1
161.6722682,-98.61849602,0,0,0,1
160.9071621,-98.7958381,0,0,0,1
160.1393648,-98.96114053,0,0,0,1
159.3690657,-99.11436254,0,0,0,1
158.596455,-99.25546631,0,0,0,1
157.8217233,-99.38441703,0,0,0,1
157.0450616,-99.50118289,0,0,0,1
156.2666617,-99.60573507,0,0,0,1
155.4867156,-99.69804777,0,0,0,1
154.7054157,-99.77809823,0,0,0,1
153.9229548,-99.84586669,0,0,0,1
153.139526,-99.90133642,0,0,0,1
152.3553225,-99.94449375,0,0,0,1
151.570538,-99.97532802,0,0,0,1
150.7853659,-99.99383162,0,0,0,1
150,-100,0,0,0,1
140,-100,0,0,0,1
130,-100,0,0,0,1
120,-100,0,0,0,1
110,-100,0,0,0,1
100,-100,0,0,0,1
90,-100,0,0,0,1
80,-100,0,0,0,1
70,-100,0,0,0,1
60,-100,0,0,0,1
50,-100,0,0,0,1
40,-100,0,0,0,1
30,-100,0,0,0,1
20,-100,0,0,0,1
10,-100,0,0,0,1
0,-100,0,0,0,1
-10,-100,0,0,0,1
-20,-100,0,0,0,1
-30,-100,0,0,0,1
-40,-100,0,0,0,1
-50,-100,0,0,0,1
-60,-100,0,0,0,1
-70,-100,0,0,0,1
-80,-100,0,0,0,1
-90,-100,0,0,0,1
-100,-100,0,0,0,1
-110,-100,0,0,0,1
-120,-100,0,0,0,1
-130,-100,0,0,0,1
-140,-100,0,0,0,1
-150,-100,0,0,0,1
-153.139526,-99.90133642,0,0,0,1
-154.7054157,-99.77809823,0,0,0,1
-156.2666617,-99.60573507,0,0,0,1
-157.8217233,-99.38441703,0,0,0,1
-159.3690657,-99.11436254,0,0,0,1
-160.9071621,-98.7958381,0,0,0,1
-162.4344944,-98.42915806,0,0,0,1
-163.9495553,-98.01468428,0,0,0,1
-165.4508497,-97.55282581,0,0,0,1
-166.936896,-97.04403845,0,0,0,1
-168.4062276,-96.48882429,0,0,0,1
-169.8573945,-95.88773128,0,0,0,1
-171.2889646,-95.24135262,0,0,0,1
-172.699525,-94.55032621,0,0,0,1
-174.0876837,-93.815334,0,0,0,1
-175.4520708,-93.03710135,0,0,0,1
-176.7913397,-92.21639628,0,0,0,1
-178.1041689,-91.35402871,0,0,0,1
-179.3892626,-90.45084972,0,0,0,1
-180.6453527,-89.50775062,0,0,0,1
-181.8711995,-88.52566214,0,0,0,1
-183.0655933,-87.50555348,0,0,0,1
-184.2273553,-86.44843137,0,0,0,1
-185.3553391,-85.35533906,0,0,0,1
-186.4484314,-84.2273553,0,0,0,1
-187.5055535,-83.06559327,0,0,0,1
-188.5256621,-81.87119949,0,0,0,1
-189.5077506,-80.64535268,0,0,0,1
-190.4508497,-79.38926261,0,0,0,1
-191.3540287,-78.10416889,0,0,0,1
-192.2163963,-76.79133975,0,0,0,1
-193.0371014,-75.45207079,0,0,0,1
-193.815334,-74.08768371,0,0,0,1
-194.5503262,-72.69952499,0,0,0,1
-195.2413526,-71.28896458,0,0,0,1
-195.8877313,-69.85739453,0,0,0,1
-196.4888243,-68.40622763,0,0,0,1
-197.0440384,-66.93689601,0,0,0,1
-197.5528258,-65.45084972,0,0,0,1
-198.0146843,-63.9495553,0,0,0,1
-198.4291581,-62.43449436,0,0,0,1
-198.7958381,-60.90716207,0,0,0,1
-199.1143625,-59.36906573,0,0,0,1
-199.384417,-57.82172325,0,0,0,1
-199.6057351,-56.26666168,0,0,0,1
-199.7780982,-54.70541567,0,0,0,1
-199.9013364,-53.13952598,0,0,0,1
-199.975328,-51.57053795,0,0,0,1
-200,-50,0,0,0,1
-199.975328,-48.42946205,0,0,0,1
-199.9013364,-46.86047402,0,0,0,1
-199.7780982,-45.29458433,0,0,0,1
-199.6057351,-43.73333832,0,0,0,1
-199.384417,-42.17827675,0,0,0,1
-199.1143625,-40.63093427,0,0,0,1
-198.7958381,-39.09283793,0,0,0,1
-198.4291581,-37.56550564,0,0,0,1
-198.0146843,-36.0504447,0,0,0,1
-197.5528258,-34.54915028,0,0,0,1
-197.0440384,-33.06310399,0,0,0,1
-196.4888243,-31.59377237,0,0,0,1
-195.8877313,-30.14260547,0,0,0,1
-195.2413526,-28.71103542,0,0,0,1
-194.5503262,-27.30047501,0,0,0,1
-193.815334,-25.91231629,0,0,0,1
-193.0371014,-24.54792921,0,0,0,1
-192.2163963,-23.20866025,0,0,0,1
-191.3540287,-21.89583111,0,0,0,1
-190.4508497,-20.61073739,0,0,0,1
-189.5077506,-19.35464732,0,0,0,1
-188.5256621,-18.12880051,0,0,0,1
-187.5055535,-16.93440673,0,0,0,1
-186.4484314,-15.7726447,0,0,0,1
-185.3553391,-14.64466094,0,0,0,1
-184.2273553,-13.55156863,0,0,0,1
-183.0655933,-12.49444652,0,0,0,1
-181.8711995,-11.47433786,0,0,0,1
-180.6453527,-10.49224938,0,0,0,1
-179.3892626,-9.549150281,0,0,0,1
-178.1041689,-8.645971286,0,0,0,1
-176.7913397,-7.783603725,0,0,0,1
-175.4520708,-6.96289865,0,0,0,1
-174.0876837,-6.184665998,0,0,0,1
-172.699525,-5.449673791,0,0,0,1
-171.2889646,-4.758647377,0,0,0,1
-169.8573945,-4.112268716,0,0,0,1
-168.4062276,-3.511175706,0,0,0,1
-166.936896,-2.955961552,0,0,0,1
-165.4508497,-2.447174185,0,0,0,1
-163.9495553,-1.985315716,0,0,0,1
-162.4344944,-1.570841944,0,0,0,1
-160.9071621,-1.204161903,0,0,0,1
-159.3690657,-0.885637464,0,0,0,1
-157.8217233,-0.61558297,0,0,0,1
-156.2666617,-0.394264934,0,0,0,1
-154.7054157,-0.22190177,0,0,0,1
-153.139526,-0.098663579,0,0,0,1
-151.570538,-0.024671982,0,0,0,1
-150,0,0,0,0,1
-140,0,0,0,0,1
-130,0,0,0,0,1
-120,0,0,0,0,1
-110,0,0,0,0,1
-100,0,0,0,0,1
-90,0,0,0,0,1
-80,0,0,0,0,1
-70,0,0,0,0,1
-60,0,0,0,0,1
-50,0,0,0,0,1
-40,0,0,0,0,1
-30,0,0,0,0,1
-20,0,0,0,0,1
-10,0,0,0,0,1
-1,0,0,0,0,1
