u,theta_d,rho,vel,,u,delta_u,x,y,theta_d,,
7.6,-0.001304779,-0.000225849,16.66666667,,7.6,0.100000079,7.6,0.270576181,-0.001304779,,
7.7,-0.001351109,-0.000231649,16.66666667,,7.7,0.100000085,7.7,0.270445703,-0.001351109,,
7.8,-0.001395019,-0.000219549,16.66666667,,7.8,0.100000091,7.8,0.270310592,-0.001395019,,
7.9,-0.001436229,-0.000206049,16.66666667,,7.9,0.100000097,7.9,0.27017109,-0.001436229,,
8,-0.001478869,-0.000213199,16.66666667,,8,0.100000103,8,0.270027467,-0.001478869,,
8.1,-0.001516299,-0.000187149,16.66666667,,8.1,0.100000109,8.1,0.26987958,-0.001516299,,
8.2,-0.001551059,-0.000173799,16.66666667,,8.2,0.100000115,8.2,0.26972795,-0.001551059,,
8.3,-0.001576469,-0.00012705,16.66666667,,8.3,0.10000012,8.3,0.269572844,-0.001576469,,
8.4,-0.001579579,-1.55499E-05,16.66666667,,8.4,0.100000124,8.4,0.269415197,-0.001579579,,
8.5,-0.001558169,0.00010705,16.66666667,,8.5,0.100000125,8.5,0.269257239,-0.001558169,,
8.6,-0.001530879,0.00013645,16.66666667,,8.6,0.100000121,8.6,0.269101422,-0.001530879,,
8.7,-0.001514999,7.93997E-05,16.66666667,,8.7,0.100000117,8.7,0.268948334,-0.001514999,,
8.8,-0.001504979,5.00998E-05,16.66666667,,8.8,0.100000115,8.8,0.268796834,-0.001504979,,
8.9,-0.001500299,2.33999E-05,16.66666667,,8.9,0.100000113,8.9,0.268646336,-0.001500299,,
9,-0.001503829,-1.76499E-05,16.66666667,,9,0.100000113,9,0.268496306,-0.001503829,,
9.1,-0.001509439,-2.80499E-05,16.66666667,,9.1,0.100000113,9.1,0.268345923,-0.001509439,,
9.2,-0.001519159,-4.85998E-05,16.66666667,,9.2,0.100000114,9.2,0.268194979,-0.001519159,,
9.3,-0.001528399,-4.61998E-05,16.66666667,,9.3,0.100000115,9.3,0.268043063,-0.001528399,,
9.4,-0.001536139,-3.86999E-05,16.66666667,,9.4,0.100000117,9.4,0.267890223,-0.001536139,,
9.5,-0.001543189,-3.52499E-05,16.66666667,,9.5,0.100000118,9.5,0.267736609,-0.001543189,,
9.6,-0.001541799,6.94998E-06,16.66666667,,9.6,0.100000119,9.6,0.26758229,-0.001541799,,
9.7,-0.001540469,6.64998E-06,16.66666667,,9.7,0.100000119,9.7,0.26742811,-0.001540469,,
9.8,-0.001539469,4.99998E-06,16.66666667,,9.8,0.100000119,9.8,0.267274063,-0.001539469,,
9.9,-0.001537789,8.39997E-06,16.66666667,,9.9,0.100000118,9.9,0.267120116,-0.001537789,,
10,-0.001539619,-9.14997E-06,16.66666667,,10,0.100000118,10,0.266966337,-0.001539619,,
10.1,-0.001539489,6.49998E-07,16.66666667,,10.1,0.100000119,10.1,0.266812375,-0.001539489,,
10.2,-0.001538529,4.79998E-06,16.66666667,,10.2,0.100000119,10.2,0.266658426,-0.001538529,,
10.3,-0.001535379,1.57499E-05,16.66666667,,10.3,0.100000118,10.3,0.266504573,-0.001535379,,
10.4,-0.001530129,2.62499E-05,16.66666667,,10.4,0.100000118,10.4,0.266351035,-0.001530129,,
10.5,-0.001526919,1.60499E-05,16.66666667,,10.5,0.100000117,10.5,0.266198022,-0.001526919,,
10.6,-0.001520469,3.22499E-05,16.66666667,,10.6,0.100000117,10.6,0.26604533,-0.001520469,,
10.7,-0.001513749,3.35999E-05,16.66666667,,10.7,0.100000116,10.7,0.265893283,-0.001513749,,
10.8,-0.001506699,3.52499E-05,16.66666667,,10.8,0.100000115,10.8,0.265741908,-0.001506699,,
10.9,-0.001497449,4.62498E-05,16.66666667,,10.9,0.100000114,10.9,0.265591238,-0.001497449,,
11,-0.001491409,3.01999E-05,16.66666667,,11,0.100000112,11,0.265441493,-0.001491409,,
11.1,-0.001482769,4.31999E-05,16.66666667,,11.1,0.100000111,11.1,0.265292352,-0.001482769,,
11.2,-0.001473789,4.48999E-05,16.66666667,,11.2,0.10000011,11.2,0.265144075,-0.001473789,,
11.3,-0.001465109,4.33999E-05,16.66666667,,11.3,0.100000109,11.3,0.264996696,-0.001465109,,
11.4,-0.001456469,4.31999E-05,16.66666667,,11.4,0.100000107,11.4,0.264850185,-0.001456469,,
11.5,-0.001449139,3.66499E-05,16.66666667,,11.5,0.100000106,11.5,0.264704538,-0.001449139,,
11.6,-0.001440459,4.33999E-05,16.66666667,,11.6,0.100000105,11.6,0.264559624,-0.001440459,,
11.7,-0.001431769,4.34499E-05,16.66666667,,11.7,0.100000104,11.7,0.264415578,-0.001431769,,
11.8,-0.001423459,4.15499E-05,16.66666667,,11.8,0.100000102,11.8,0.264272401,-0.001423459,,
11.9,-0.001413599,4.92999E-05,16.66666667,,11.9,0.100000101,11.9,0.264130055,-0.001413599,,
12,-0.001407169,3.21499E-05,16.66666667,,12,0.1000001,12,0.263988695,-0.001407169,,
12.1,-0.001398579,4.29499E-05,16.66666667,,12.1,0.100000099,12.1,0.263847978,-0.001398579,,
12.2,-0.001391599,3.48999E-05,16.66666667,,12.2,0.100000098,12.2,0.26370812,-0.001391599,,
12.3,-0.001384719,3.43999E-05,16.66666667,,12.3,0.100000097,12.3,0.26356896,-0.001384719,,
12.4,-0.001376599,4.05999E-05,16.66666667,,12.4,0.100000096,12.4,0.263430488,-0.001376599,,
12.5,-0.001370219,3.18999E-05,16.66666667,,12.5,0.100000095,12.5,0.263292828,-0.001370219,,
12.6,-0.001362759,3.72999E-05,16.66666667,,12.6,0.100000094,12.6,0.263155806,-0.001362759,,
12.7,-0.001356799,2.97999E-05,16.66666667,,12.7,0.100000093,12.7,0.26301953,-0.001356799,,
12.8,-0.001349559,3.61999E-05,16.66666667,,12.8,0.100000092,12.8,0.26288385,-0.001349559,,
12.9,-0.001339439,5.05999E-05,16.66666667,,12.9,0.100000091,12.9,0.262748894,-0.001339439,,
13,-0.001333559,2.93999E-05,16.66666667,,13,0.10000009,13,0.26261495,-0.001333559,,
13.1,-0.001326059,3.74999E-05,16.66666667,,13.1,0.100000089,13.1,0.262481594,-0.001326059,,
13.2,-0.001319419,3.31999E-05,16.66666667,,13.2,0.100000088,13.2,0.262348988,-0.001319419,,
13.3,-0.001312079,3.66999E-05,16.66666667,,13.3,0.100000087,13.3,0.262217046,-0.001312079,,
13.4,-0.001302929,4.57499E-05,16.66666667,,13.4,0.100000086,13.4,0.262085838,-0.001302929,,
13.5,-0.001296229,3.34999E-05,16.66666667,,13.5,0.100000085,13.5,0.261955545,-0.001296229,,
13.6,-0.001286979,4.62499E-05,16.66666667,,13.6,0.100000084,13.6,0.261825922,-0.001286979,,
13.7,-0.001278389,4.29499E-05,16.66666667,,13.7,0.100000083,13.7,0.261697224,-0.001278389,,
13.8,-0.001270569,3.90999E-05,16.66666667,,13.8,0.100000082,13.8,0.261569385,-0.001270569,,
13.9,-0.001261489,4.53999E-05,16.66666667,,13.9,0.100000081,13.9,0.261442328,-0.001261489,,
14,-0.001252939,4.27499E-05,16.66666667,,14,0.10000008,14,0.261316179,-0.001252939,,
14.1,-0.001242509,5.21499E-05,16.66666667,,14.1,0.100000078,14.1,0.261190885,-0.001242509,,
14.2,-0.001234479,4.01499E-05,16.66666667,,14.2,0.100000077,14.2,0.261066634,-0.001234479,,
14.3,-0.001226549,3.96499E-05,16.66666667,,14.3,0.100000076,14.3,0.260943186,-0.001226549,,
14.4,-0.001215129,5.70999E-05,16.66666667,,14.4,0.100000075,14.4,0.260820531,-0.001215129,,
14.5,-0.001206619,4.25499E-05,16.66666667,,14.5,0.100000074,14.5,0.260699018,-0.001206619,,
14.6,-0.001196119,5.24999E-05,16.66666667,,14.6,0.100000073,14.6,0.260578356,-0.001196119,,
14.7,-0.001186929,4.59499E-05,16.66666667,,14.7,0.100000072,14.7,0.260458744,-0.001186929,,
14.8,-0.001177639,4.64499E-05,16.66666667,,14.8,0.10000007,14.8,0.260340051,-0.001177639,,
14.9,-0.001166939,5.34999E-05,16.66666667,,14.9,0.100000069,14.9,0.260222287,-0.001166939,,
15,-0.001156079,5.42999E-05,16.66666667,,15,0.100000068,15,0.260105593,-0.001156079,,
15.1,-0.00114458,5.74999E-05,16.66666667,,15.1,0.100000067,15.1,0.259989985,-0.00114458,,
15.2,-0.00113592,4.32999E-05,16.66666667,,15.2,0.100000066,15.2,0.259875527,-0.00113592,,
15.3,-0.00112615,4.88499E-05,16.66666667,,15.3,0.100000065,15.3,0.259761935,-0.00112615,,
15.4,-0.00111399,6.07999E-05,16.66666667,,15.4,0.100000063,15.4,0.25964932,-0.00111399,,
15.5,-0.00110529,4.34999E-05,16.66666667,,15.5,0.100000062,15.5,0.259537921,-0.00110529,,
15.6,-0.00109225,6.51999E-05,16.66666667,,15.6,0.100000061,15.6,0.259427392,-0.00109225,,
15.7,-0.00108216,5.04499E-05,16.66666667,,15.7,0.10000006,15.7,0.259318167,-0.00108216,,
15.8,-0.00107224,4.95999E-05,16.66666667,,15.8,0.100000059,15.8,0.259209951,-0.00107224,,
15.9,-0.00106058,5.82999E-05,16.66666667,,15.9,0.100000057,15.9,0.259102727,-0.00106058,,
16,-0.00105104,4.76999E-05,16.66666667,,16,0.100000056,16,0.258996669,-0.00105104,,
16.1,-0.00103894,6.04999E-05,16.66666667,,16.1,0.100000055,16.1,0.258891565,-0.00103894,,
16.2,-0.00102714,5.89999E-05,16.66666667,,16.2,0.100000054,16.2,0.258787671,-0.00102714,,
16.3,-0.00101731,4.91499E-05,16.66666667,,16.3,0.100000053,16.3,0.258684957,-0.00101731,,
16.4,-0.00100532,5.99499E-05,16.66666667,,16.4,0.100000052,16.4,0.258583226,-0.00100532,,
16.5,-0.00099562,4.84999E-05,16.66666667,,16.5,0.100000051,16.5,0.258482694,-0.00099562,,
16.6,-0.00098468,5.46999E-05,16.66666667,,16.6,0.10000005,16.6,0.258383132,-0.00098468,,
16.7,-0.00097131,6.68499E-05,16.66666667,,16.7,0.100000048,16.7,0.258284664,-0.00097131,,
16.8,-0.00096086,5.22499E-05,16.66666667,,16.8,0.100000047,16.8,0.258187533,-0.00096086,,
16.9,-0.00095042,5.21999E-05,16.66666667,,16.9,0.100000046,16.9,0.258091447,-0.00095042,,
17,-0.00094015,5.13499E-05,16.66666667,,17,0.100000045,17,0.257996405,-0.00094015,,
17.1,-0.00092849,5.82999E-05,16.66666667,,17.1,0.100000044,17.1,0.25790239,-0.00092849,,
17.2,-0.00091538,6.55499E-05,16.66666667,,17.2,0.100000043,17.2,0.257809541,-0.00091538,,
17.3,-0.00090504,5.16999E-05,16.66666667,,17.3,0.100000042,17.3,0.257718003,-0.00090504,,
17.4,-0.00089345,5.79499E-05,16.66666667,,17.4,0.100000041,17.4,0.257627499,-0.00089345,,
17.5,-0.00088417,4.63999E-05,16.66666667,,17.5,0.10000004,17.5,0.257538154,-0.00088417,,
17.6,-0.00087306,5.55499E-05,16.66666667,,17.6,0.100000039,17.6,0.257449737,-0.00087306,,
17.7,-0.00085988,6.58999E-05,16.66666667,,17.7,0.100000038,17.7,0.257362431,-0.00085988,,
17.8,-0.00085021,4.83499E-05,16.66666667,,17.8,0.100000037,17.8,0.257276443,-0.00085021,,
17.9,-0.00083795,6.12999E-05,16.66666667,,17.9,0.100000036,17.9,0.257191422,-0.00083795,,
18,-0.00082865,4.65E-05,16.66666667,,18,0.100000035,18,0.257107627,-0.00082865,,
18.1,-0.00081694,5.85499E-05,16.66666667,,18.1,0.100000034,18.1,0.257024762,-0.00081694,,
18.2,-0.00080468,6.12999E-05,16.66666667,,18.2,0.100000033,18.2,0.256943068,-0.00080468,,
18.3,-0.00079485,4.915E-05,16.66666667,,18.3,0.100000032,18.3,0.2568626,-0.00079485,,
18.4,-0.00078156,6.64499E-05,16.66666667,,18.4,0.100000032,18.4,0.256783115,-0.00078156,,
18.5,-0.00077274,4.41E-05,16.66666667,,18.5,0.100000031,18.5,0.256704959,-0.00077274,,
18.6,-0.00075955,6.59499E-05,16.66666667,,18.6,0.10000003,18.6,0.256627685,-0.00075955,,
18.7,-0.00074912,5.215E-05,16.66666667,,18.7,0.100000029,18.7,0.25655173,-0.00074912,,
18.8,-0.0007385,5.31E-05,16.66666667,,18.8,0.100000028,18.8,0.256476818,-0.0007385,,
18.9,-0.00072763,5.435E-05,16.66666667,,18.9,0.100000027,18.9,0.256402968,-0.00072763,,
19,-0.0007168,5.415E-05,16.66666667,,19,0.100000026,19,0.256330205,-0.0007168,,
19.1,-0.00070412,6.34E-05,16.66666667,,19.1,0.100000026,19.1,0.256258525,-0.00070412,,
19.2,-0.00069358,5.27E-05,16.66666667,,19.2,0.100000025,19.2,0.256188113,-0.00069358,,
19.3,-0.000684,4.79E-05,16.66666667,,19.3,0.100000024,19.3,0.256118755,-0.000684,,
19.4,-0.0006715,6.25E-05,16.66666667,,19.4,0.100000023,19.4,0.256050355,-0.0006715,,
19.5,-0.00066035,5.575E-05,16.66666667,,19.5,0.100000023,19.5,0.255983205,-0.00066035,,
19.6,-0.00064934,5.505E-05,16.66666667,,19.6,0.100000022,19.6,0.25591717,-0.00064934,,
19.7,-0.00063871,5.315E-05,16.66666667,,19.7,0.100000021,19.7,0.255852236,-0.00063871,,
19.8,-0.00062942,4.645E-05,16.66666667,,19.8,0.10000002,19.8,0.255788365,-0.00062942,,
19.9,-0.00061458,7.42E-05,16.66666667,,19.9,0.10000002,19.9,0.255725423,-0.00061458,,
20,-0.0006055,4.54E-05,16.66666667,,20,0.100000019,20,0.255663965,-0.0006055,,
20.1,-0.00059487,5.315E-05,16.66666667,,20.1,0.100000018,20.1,0.255603415,-0.00059487,,
20.2,-0.00058397,5.45E-05,16.66666667,,20.2,0.100000018,20.2,0.255543928,-0.00058397,,
20.3,-0.00057184,6.065E-05,16.66666667,,20.3,0.100000017,20.3,0.255485531,-0.00057184,,
20.4,-0.00056043,5.705E-05,16.66666667,,20.4,0.100000016,20.4,0.255428347,-0.00056043,,
20.5,-0.00055048,4.975E-05,16.66666667,,20.5,0.100000016,20.5,0.255372304,-0.00055048,,
20.6,-0.00053983,5.325E-05,16.66666667,,20.6,0.100000015,20.6,0.255317256,-0.00053983,,
20.7,-0.00052639,6.72E-05,16.66666667,,20.7,0.100000015,20.7,0.255263273,-0.00052639,,
20.8,-0.00051687,4.76E-05,16.66666667,,20.8,0.100000014,20.8,0.255210634,-0.00051687,,
20.9,-0.00050545,5.71E-05,16.66666667,,20.9,0.100000013,20.9,0.255158947,-0.00050545,,
21,-0.00049631,4.57E-05,16.66666667,,21,0.100000013,21,0.255108402,-0.00049631,,
21.1,-0.00048276,6.775E-05,16.66666667,,21.1,0.100000012,21.1,0.255058771,-0.00048276,,
21.2,-0.00047098,5.89E-05,16.66666667,,21.2,0.100000012,21.2,0.255010495,-0.00047098,,
21.3,-0.00046244,4.27E-05,16.66666667,,21.3,0.100000011,21.3,0.254963397,-0.00046244,,
21.4,-0.00045008,6.18E-05,16.66666667,,21.4,0.100000011,21.4,0.254917153,-0.00045008,,
21.5,-0.00043974,5.17E-05,16.66666667,,21.5,0.10000001,21.5,0.254872145,-0.00043974,,
21.6,-0.0004289,5.42E-05,16.66666667,,21.6,0.10000001,21.6,0.254828171,-0.0004289,,
21.7,-0.000419,4.95E-05,16.66666667,,21.7,0.100000009,21.7,0.254785281,-0.000419,,
21.8,-0.00040734,5.83E-05,16.66666667,,21.8,0.100000009,21.8,0.254743381,-0.00040734,,
21.9,-0.00039551,5.915E-05,16.66666667,,21.9,0.100000008,21.9,0.254702647,-0.00039551,,
22,-0.00038695,4.28E-05,16.66666667,,22,0.100000008,22,0.254663096,-0.00038695,,
22.1,-0.00037739,4.78E-05,16.66666667,,22.1,0.100000007,22.1,0.254624401,-0.00037739,,
22.2,-0.000364,6.695E-05,16.66666667,,22.2,0.100000007,22.2,0.254586662,-0.000364,,
22.3,-0.00035488,4.56E-05,16.66666667,,22.3,0.100000007,22.3,0.254550262,-0.00035488,,
22.4,-0.00034589,4.495E-05,16.66666667,,22.4,0.100000006,22.4,0.254514774,-0.00034589,,
22.5,-0.00033613,4.88E-05,16.66666667,,22.5,0.100000006,22.5,0.254480185,-0.00033613,,
22.6,-0.00032378,6.175E-05,16.66666667,,22.6,0.100000006,22.6,0.254446572,-0.00032378,,
22.7,-0.00031358,5.1E-05,16.66666667,,22.7,0.100000005,22.7,0.254414194,-0.00031358,,
22.8,-0.00030596,3.81E-05,16.66666667,,22.8,0.100000005,22.8,0.254382836,-0.00030596,,
22.9,-0.00029248,6.74E-05,16.66666667,,22.9,0.100000005,22.9,0.25435224,-0.00029248,,
23,-0.00028349,4.495E-05,16.66666667,,23,0.100000004,23,0.254322992,-0.00028349,,
23.1,-0.00027468,4.405E-05,16.66666667,,23.1,0.100000004,23.1,0.254294643,-0.00027468,,
23.2,-0.00026335,5.665E-05,16.66666667,,23.2,0.100000004,23.2,0.254267175,-0.00026335,,
23.3,-0.00025235,5.5E-05,16.66666667,,23.3,0.100000003,23.3,0.25424084,-0.00025235,,
23.4,-0.00024311,4.62E-05,16.66666667,,23.4,0.100000003,23.4,0.254215605,-0.00024311,,
23.5,-0.00023419,4.46E-05,16.66666667,,23.5,0.100000003,23.5,0.254191294,-0.00023419,,
23.6,-0.0002215,6.345E-05,16.66666667,,23.6,0.100000003,23.6,0.254167875,-0.0002215,,
23.7,-0.00021175,4.875E-05,16.66666667,,23.7,0.100000002,23.7,0.254145725,-0.00021175,,
23.8,-0.00020344,4.155E-05,16.66666667,,23.8,0.100000002,23.8,0.25412455,-0.00020344,,
23.9,-0.00019022,6.61E-05,16.66666667,,23.9,0.100000002,23.9,0.254104206,-0.00019022,,
24,-0.00018038,4.92E-05,16.66666667,,24,0.100000002,24,0.254085184,-0.00018038,,
24.1,-0.00017223,4.075E-05,16.66666667,,24.1,0.100000002,24.1,0.254067146,-0.00017223,,
24.2,-0.00015991,6.16E-05,16.66666667,,24.2,0.100000001,24.2,0.254049923,-0.00015991,,
24.3,-0.00014796,5.975E-05,16.66666667,,24.3,0.100000001,24.3,0.254033932,-0.00014796,,
24.4,-0.00014004,3.96E-05,16.66666667,,24.4,0.100000001,24.4,0.254019136,-0.00014004,,
24.5,-0.00013038,4.83E-05,16.66666667,,24.5,0.100000001,24.5,0.254005132,-0.00013038,,
24.6,-0.00011647,6.955E-05,16.66666667,,24.6,0.100000001,24.6,0.253992094,-0.00011647,,
24.7,-0.00010757,4.45E-05,16.66666667,,24.7,0.100000001,24.7,0.253980447,-0.00010757,,
24.8,-9.816E-05,4.705E-05,16.66666667,,24.8,0.100000001,24.8,0.25396969,-9.816E-05,,
24.9,-8.479E-05,6.685E-05,16.66666667,,24.9,0.1,24.9,0.253959874,-8.479E-05,,
25,-7.661E-05,4.09E-05,16.66666667,,25,0.1,25,0.253951395,-7.661E-05,,
25.1,-6.585E-05,5.38E-05,16.66666667,,25.1,0.1,25.1,0.253943734,-6.585E-05,,
25.2,-5.203E-05,6.91E-05,16.66666667,,25.2,0.1,25.2,0.253937149,-5.203E-05,,
25.3,-4.382E-05,4.105E-05,16.66666667,,25.3,0.1,25.3,0.253931946,-4.382E-05,,
25.4,-3.366E-05,5.08E-05,16.66666667,,25.4,0.1,25.4,0.253927564,-3.366E-05,,
25.5,-2.004E-05,6.81E-05,16.66666667,,25.5,0.1,25.5,0.253924198,-2.004E-05,,
25.6,-9.48E-06,5.28E-05,16.66666667,,25.6,0.1,25.6,0.253922194,-9.48E-06,,
